tweets,labels
حسن نیت نشون میدی و احترام میذاری بعد برمی گردن طوری رفتار می کنن انگار طرف مقابلش خره نمی فهمه، بابا ما هم می تونیم گرگ باشیم به علی,2
اینو خدا زده بچه ها.,2
پیش به سوی آتئیست شدن …,3
بابا وقتی طرف چت رو بر اساس رفاقتی که دارین، با سلام شروع نمیکنه، تو نباید بیای زارت بعد از حرفاش بهش سلام کنی.😂😂 داری بدبختو تحقیر میکنی قشنگ. اون خودش بلد بود سلام کنه خب=))))),0
نورشو ادیت نکردم. ۱ جا هم گرفتم. نمیدونم چرا رنگشون فرق داره🤔 ,3
ابوالقاسم طالبی نشسته جلوی بهروز افخمی و می‌گه یائسگی زن‌ها دلیل رفتارها و شورش‌های اخیرشونه و افخمی هم پوزخند می‌زنه؟ حیف درد زایمانی که مادرهای شما برای به دنیا آوردنتون تحمل کردن.,2
قبل هر امتحانی لپ تابم خراب میشه، چقدر این زندگی زیباست.,1
من دوتا مود بیشتر ندارم درمورد رابطه: یا کلا تنها باشم و با تنهاییم حال کنم. یا وقتی میرم تو رابطه،توجه و عشق میخوام از طرف مقابل. چون اینجا تنهام و دوست دارم اون ادم کسی باشه من تمام عشقی که نمیتونم به دوست صمیمی و خانواده بدم به اون بدم وقتی میبینم نمیشه ترجیح میدم تنها بمونم:),1
آه از آن رفتگان بی‌بازگشت.,1
مناسب برای اواخر ترم,3
حالا آروم‌آروم ۲۴ تا واحدو حذف کنین برسونین به ۱۶ تا=)))))),0
تا به اینجای کار و فکر کنم تا اخرش، بهترین استاد دانشگاه شریف با اختلاف نگین باقرپور باشه,0
اگر خبر لغو آیلتس از اسفند واقعی باشه، دیگه نمی‌تونم. با تموم وجود لعنت بهتون، به اول و آخرتون، به هرکی زاییدتون که اینطوری برینید توی تک‌تک ثانیه‌های عمر ما. به ریال ریال لقمه‌ی کثافت‌گرفتتون. به ذات حرومتون که زندگی رو به ما حروم کردید. بمیرید حرومزاده‌ها، بمیرید.,2
فک کن این همه درس خوندم، کنکور دادم، دانشگاه رفتم، اپلای کردم، باز اینجا درس خوندم، این همه سرکار تلاش کردم، بعد الان کار مورد علاقه ام اشپزی و تمیز کردن خونمه و رسیدن به گل و گیاها و یوگا و …ست🤣🤣🧘🏻‍♀️ چرا انقدر اشتباه زدم!,0
در واقع ترم زوج تازه برا بعد عید شروع میشه,3
من تو کونم یه عالمه فامیل دارم.,2
میانترم، پایانترم، کوییز، تمرین و هر خری که به این مفاهیم مربوطه دیگه برام از درون تهی شدن و معنایی ندارن.,1
بچه ها هشتگ #مهسا_امینی از ترند خارج شده. لطفا اگر نمیتونید بزنید توییتشو حداقل توییتهای با هشتگ درست رو ریتوییت کنید. بعضی هاتون به فکر این هستید پیجتون چه شکلی دیده میشه هنوز؟ توروخدا بی خیال!,1
دو شاخه رو زدم تو پریز، برق دوتا اتاق رفت و پریز ها هم سوخت. مگه میشه؟,1
همه ما که مهاجرت کردیم یه درد مشترک داریم و اونم حسرت خوردن برای آینده خیالی ایرانه.,1
بگا بگا بگاتر، بگاتر از ستاره؛ تو آسمونِ آبی، بگا می‌ریم دوباره.,2
امروز میرم دانشگاه. اونی که میبینید هم بقچه تغذیه منه😂😂😂 ,0
اینم ۲۵ سالگی🎂,3
مردم کاراشون تا ۹۹ درصد پیش میره، ولی چون به ۱۰۰ نرسیده به کسی چیزی نمیگن که یه وقت کنسل نشه. بعد من هنوز کارم شروع نشده میرم به همه دوستام میگم. ای ساده‌‌لوح احمق,2
هدیه‌ای که امروز گرفتم و روزمو ساخت واقعاً ,0
به دوست‌دخترم گفتم تو شماره یک منی. خیلی خوشحال شد ولی نمی‌دونه من برنامه‌نویسم، اندیس‌ها رو از صفر شروع می‌کنم🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
ممد دوتا کوچه بالاتر دارن نذری میدن.,3
دانشجویان ایرانی در پناهگاه در اوکراین,3
امروز با مادرم صحبت میکردم و فهمیدم بعد رفتن من چقدر آسیب دیده. چقدر هیچی مثل قبل نیست. چقدر اذیت شده غصه خورده. غم تنهایی کشیده. خیلی عذاب وجدان گرفتم. حس میکنم خیلی خودخواهی کردم با رفتنم,1
عجب ذهن خلاقی دارن ملت به خدا😂😂,0
"""ای"" بذار اولش و با لحن لجن بخون",0
بچه‌ها شماها دیگه بزرگ شدید، سن خر فرعون رو دارید، بی‌زحمت نیم‌فاصله و هکسره رو رعایت کنید. بعد از کلمات هم بلافاصله ویرگول می‌آد و بعد اسپیس می‌زنید و کلمه‌ی بعدی. اخبار رو هم دنبال نکنید. سریال هم اسپویل نکنید. زید بزنید و وقتی می‌بینید کسی هندزفری توی گوششه ازش آدرس نپرسید.,2
امیدوارم سال دیگه این موقع ها که برمی گردم این توییتو نگاه می کنم خیلی چیزا تغییر کرده باشه.,4
یه غمی تو دلمه از صبح,1
آخرهفته اینجا زیبا سپری شد🌻,4
من‌ دیگه نای ادامه دادن ندارم.,1
شیرینی خشک از تر خیلی خوشمزه تره.,0
اگه رفتید بازار تجریش، قیمت گوجه‌سبز رو نپرسید. من پرسیدم و دیگه اون آدم سابق نشدم. کیلویی چهار تومن ناقابل,1
اما عزیزم، کاش در روزگار بهتری می‌زیستیم. ما همگی حیف بودیم.,4
من تحقیق کردم. این دوره اش تقریبا ۲ ماهه. یعنی هر دو ماه یه بار میاد یه کسشری میگه و میره.,2
سلام. منم فروردین,0
بچه ها هرکسی سوالی راجع به ویزای کار، تحصیل، ویزیتور داشته باشه و یا اپلای برای دانشگاه های کانادا من در حد توانم کمک میکنم بهم بگید🙏🏻,3
دوست‌های پسر زیادی دارم که زید می‌خوان ولی دوست‌های دختر زیادی ندارم که بتونم جمعیت شیعه رو افزایش بدم.,4
اقا رضا ایشالااااااااا خوشبخت بشی، مبارکت باشه اقا رضاااا,4
گوشه.,3
سلام، بله‌. کارل فریدریش گاوس🤣🤣🤣,0
قول میدم دیگه اینا اخریش باشه👀💓 امیدوارم هرکی هنوز فارغ التحصیل نشده فارغ شه راحت شه :)),4
یه ساعت با بچه های ده-نه ساله تو کوچه فوتبال بازی کردم اخرشم یه شکلات بهم دادن، عاشق مرامشون شدم.,4
هی می‌گم خدایا امباپه چرا انقدر قیافه‌ش آشناست، کپیه مایکل آنجلو توی لاکپشت‌های نینجاست.,3
من یک محجبه‌ام و با گشت ارشاد مخالفم.,1
خرداد ۰۲ { },3
وقتی واکسن زدم=))))))) ,0
تو که بخوای بخوریم خودم میکشمت.,1
هرگونه تلاش جهت پاس کردن این درس بیهوده است.,1
نوروز مبارک❤️ ,4
من، هر روزی که تو خونه می‌مونم و بیرون نمیرم:,3
دوستان توجه کنید. از این عکس ادایی‌ها ,4
توی سریال‌های تخمی‌ تخیلیتون با انواع جاسوس‌های مکانیکی و غیر مکانیکی یارو از دل تلاویو دستگیر می‌کنید؛ بحث هرچیزی که می‌شه «هیچی نداریم ولی عوضش امنیت داریم» رو از تو کونتون درمی‌آرید و می‌ذارید روی میز، بعد هنوز نفهمیدید عامل اصلی مسمومیت بچه‌های مردم چیه؟ حروم‌لقمه‌ها.,2
لقمه‌ی حلال مهم‌ترین مسئله‌ست.,0
چند وقت پیش یادم نمی اومد یه ساعت پیش چیکار کردم الان یادم نمیاد ده دقیقه پیش چیکار کردم.,3
جوان رو به زور بردن سربازی، بعد چندتا اموزش مقدماتی فرستادن لب مرز، عمرشو ازش گرفتن و بعد هم به خانواده اش گفتن پسرت شهید شده چقدر کثافت و بی حیایید.,2
چون این در نهایت خوشحالی کوتاه میاره یعنی طرف یه لحظه میگه اخیش چقدر خوب که منم که هرروز مک دانلد میخورم نرمالم پس بذار همینجوری بمونم و ورزش نکنم و خوشحالی بزرگتر(زندگی سالم با انرژی بالا در طولانی مدت) رو از دست میده! ۳. بهتره به جای نرمالسازی ناسالم بودن، ورزش و تغذیه بالانس,0
حقیقتا چطور بعضی ها شب امتحان همه مطالب رو جمع می کنن؟🤔😒 هیچ وقت تو زندگیم تو این امر موفق نبودم 😐,1
اگه این توییتم صدوپنجاه‌تا فیو بگیره، از فردا شیش صبح قبل از شروع روزم، می‌رم پیاده‌روی.,3
روزِ «من از تو هیچی نمی‌خوام فقط اخلاق‌ت رو درست کن» مبارک.,4
اخه زن من درستو حذف نکردم که الان ۷ فاکین نمره نمودار بزنی:(,1
وقتی بابام می‌پرسه کجا رفته بودی بیرون؟  و من میگم توچال =)))) ,0
به نظرم یکی از لحظاتی که تو مهاجرت میفهمی خیلی تنهایی، وقتیه که میخوای یکیو به عنوان ایمرجنسی کانتکت بذاری:) هرکی به ذهنت میاد میگی خب این که اونقدر صمیمی نیست و تهش همینجوری یکیو میذاری اونجا و با خودت میگی فک کنم چندماه دیگه باید عوضش کنم.,1
هرچی توییت مرتبطت #مهسا_امینی دیدید ریتوییت کنید. هیچی ازتون کم نمیشه. دیده میشیم. ترند نمیفته,1
با رند ۱۲ هم می‌شود ۲۰ تا واحد خوب برداشت. می‌پرسید چگونه؟ حق دارید! آموزش نداده‌ایم.,0
واقعا آدم بی‌شعوری هستی.,2
@1500tasvir تا روزی که نفس میکشم از محمدمهدی کرمی و محمد حسینی میگم. این غم همیشه با من میمونه تا ابد.,1
حمید علیمی پنج‌شنبه و جمعه توی کربلا مراسم داره؟ کار خوبه که خدا درست کنه، حقیقتاً امثالِ شماها خر کی باشید.,2
طرف خودشو انداخته به یه پسره که داشته مهاجرت میکرده! دقیقا انداخته!!! پسره هم از اون اسکل تر اینو برش داشته برده. حالا هرروز‌تو تایم لاینم میاد که بالاخره اومدیم. بالاخره سختیا جواب داد! بالاخره خونمونو گرفتیم! بِچ!!! تو ۱ ماه قبل رفتن این چسبیدی بهش!! سختی؟؟؟منظورت انگشت نگاریه؟,2
علی ای حال خوبه که شادمهر هست.,0
هرکی این مزدور نظامو‌فالو داره یا اینو انفالو کنه یا لطفا سریع منو انفالو ریموو کنه. مرسی. این ادم حتی از این فرصت برای دیده شدن هم نمیگذره و سریع ویدیو شروینو میذاره. توروخدا بیدار شید!! برای #مهسا_امینی ,1
منطقیه!,0
یادگاری از جشن فارغ التحصیلی مکانیک ۹۷,0
نسلتون ور بیفته. انگار ایران ارث باباشونه,2
مثل شوروی در حال فروپاشی ام,1
طراحی سوال های برنامه نویسی از لحاظ بامزگی دیگه داره می ترکونه:))))),0
ببینید؛ من خیلی چیزها رو دیگه نمی‌تونم. داشتنِ خانواده‌ی سنتی-مذهبی رو، مسلمون بودن رو، زندگی توی جمهوری اسلامی رو، نخوردن دخلم به خرجم رو، دختر بودنم رو، نداشتن زندگی مستقل رو، گرون بودن تراپی رو، همیشه دوییدن و گاهی فقط سر سوزن رسیدن رو و هزاران هزاران مسئله‌ی دیگه رو.,1
از کلیه دروس یک واحدی متنفرم چون اندازه ۲۰ واحد وقت میگیرن,1
تا من باشم دیگه جواب no caller id ندم! لعنت به جمهوری اسلامی #مهسا_امینی,1
من تا الان فکر می‌کردم ماجرا شوخیه. ولی جدی جدی ۹۹ ایا ML برداشتن این ترم=))))))))))))))))))))),0
اوایل پاییز سالی که گذشت 🍂 ,3
واقعا براتون متاسفم دوستان. با این فیچر جدید اینستاگرام، دارین همینجوری دیتابیس مارک زاکربرگ رو تکمیل می‌کنید. به عنوان یک مهندس کامپیوتر با تجربه در زمینه دیتابیس و سایر زمینه‌ها، بهتون توصیه می‌کنم این کارو نکنید😉😉,1
روزی که اومدم کانادا گفتم هیچ وقت بلیت برگشت نمیگیرم چون امیدی ندارم دیگه به ایران. کی بلیتهای برگشتمون به وطن رو میگیریم یعنی؟ #مهسا_امینی #OpIran,1
الکل ۱ ماه حذف کامل. وقت گذروندن در طبیعت، دیدن دوستان، صحبت با دوستان. تموم کردن کارهای عقب مونده، مرتب نگه داشتن محیطم، رسیدن به گل‌و‌گیاهم.,0
این توییت فاقد ارزش خاصیه و صرفا جهت سوختن سهمیه ۶۰۰ تا توییت روزانتونه.,3
"پیاده‌روی در ولیعصرِ پسا بارون:""))",0
گذاشتمشون فرودگاه و الان برگشتم خونه. باز همون خونه سوت و کور:) چقدر جای خالی ادمهارو دیدن سخته. چی کشیدن مامانم اینا بعد رفتن من واقعا,1
دوستان این موج جدید کرونا داره چراغ خاموش با سرعت میاد، خیلی مواظب باشید اکثر اطرافیانم علائم دارن,4
قبلا اینجوری نبودم ولی جدیدا حسرت خیلی چیزا رو می خورم.,1
به قبرت خندیدی با این انتخاب واحدت که دوتا امتحان تو یه روز‌ داری,2
از اینجا میخونمتون ,3
برق فقط اونجاش که با استفاده ازش تغییر رشته میدی به کامپیوتر.,3
اقا این درسته که پسرا بعد بریک اپ راحت میرن سراغ یه دختر دیگه ما دیوونه میشینیم مدتها غصه میخوریم؟؟ من که قشنگ تا مدتها پسر میبینم مور مور میشم. فقط خود خودش بود که قلبمو داشت به جز اون هرکی بیاد حالمو بهم میزنه,1
این سیگارم بکشیم و دیگه کس‌ننت و کس‌ننت و کس‌ننت,2
اجازه بدید بگم کسی که تورنتو زندگی میکنه هوم سیک نمیشه🤣🤣🤣🤣,0
هیجان‌زده کس میگید.,2
در سن ۲۲ سالگی مفتخرم اعلام کنم که تو زندگی تا اینجا، در همه جوانب زندگیم ریده‌ام و تپه‌ای باقی نمونده.,1
رمزآلود کس میگید.,2
خب امروز یه ناهار خوب به خودم جایزه دادم. واقعا خوشمزه بود ولی برنامه تا آخر ماه نون و ماسته.,0
فردا شاید برم بالاخره سوشی رو امتحان کنم، اگه بدمزه بود چه خاکی به سرم بریزم؟,1
تو بگو گی‌خوار تو کیست؟,1
خیلی غصّه خوردم. از غصّه دلم سوراخ شد.,1
تازگیا خیلی خودتون رو میگیرید. بیاید اینو بگیرید.,2
نمیدونم این سریع منتقل کردن مشکلات و ناراحتیا به تخمام خوبه یا بد.,1
گفته میشه یه روز یکی از اصحاب قدیمی آیت الله صافی رو تو حوزه میبینه و می‌پرسه صافی؟ ایشون میگن: نه کجم کسکش.,2
چرا انقد دخترای محجبه‌ی کارتونی زیاد شدن؟,3
من هنوز دارم فکر میکنم چرا اینجوری میکنید؟,1
مثل کسایی که اکانت قبلیشون با ۱۱ کا پریده توییت میکنید.,3
من دارم فکر میکنم چه کار عادی‌‌ای انجام دادم.,3
شما چه کار عجیبی تو دوران تحصیل انجام دادین؟ ,4
من بدون اینکه یاد بگیرم یک خط کد بزنم، لیسانس IT از شریف گرفتم 😂,0
ولی واقعا خودمم نمیدونم چرا انقد حس خوبی به آهنگ پنجره از ناصر عبداللهی دارم.,0
آدما رو تصور میکنم که با یه لبخند وقیحانه تو چشام زل میزنن و میگن خوب گاییدمت، نه؟,2
واقعا خیلی دردناکه که هیشکی نیس که امشب منو بغل کنه گریه کنم,1
واقعا ممنون میشم اگه کسی نیاد این زیر بگه بغل و اینا. من همینجوریش همه زندگیم رو تو توهم گذرونم.,1
شت، آدم احمق :)))),2
اینا همه‌ش دروغ نیس؟,1
حوصله‌م سر رفت ولی نمیخوام برم خونه.,1
دلم میخواد گریه کنم,1
مهر و ماه- محمد اصفهانی.,3
حالا چرا انقد چارباغ خلوته؟,3
این همه راه نکوبیدم بیام اینجا که حالا این کافه‌هه بسته باشه.,1
یاحسین، این دختره پسر بود.,0
مشخصه ادا رو با نون نمیخورید وگرنه دیگه باید سیر می‌شدید.,2
بازم که قشقرق بپا کردید.,3
برای اونایی که سر پست خودکشی کردن. #مهسا_امینی ,1
تازه هر استارباکسی هم نه‌؛ استارباکس بارسلون.  اگر هنوز متوجه نشدی دوباره بگم که بارسلون.,3
نه حاجی بعید می‌دونم.,3
ولی کاش وازوفسکی و سالیوان ازون یخ بستنی لوموییا میخوردن بنده خدا خیلی زحمت کشیده بود.,4
اگه گفتید کی قراره مربی نیوکاسل بشه؟ آفرین دقیقا. قلعه نویی.,0
حالا بعد همین توییت زنگ می‌زنه زن و بچه‌ش برن خونه پدرزنش چون خونه رو اجاره داده شبی دو و نیم.,3
گواهینامه بالاخره اومددددددددد. بعد مامان من که دوساله رانندگی نکرده دقیقا همین امروز ماشینو نیاز داره🙆🙆,0
ولی درس نمی‌خونن دیگه؟ درسته.,0
هیجدهیم سال زندگیم سخت ترینش بود و تموم شد. بریم رو نوزده ببینیم چی منتظرمونه.,1
اگر فردا این معافیت من اوکی شه و انتخاب واحد کنم به قید قرعه به سه نفر از فیو زنندگان بستنی می‌دم. صلوات هم اگه بفرستید بصورت خیلی جالبی روی شانستون تاثیر می‌ذاره. 🥹🙏,0
نشدم آقا یه بهنام تشکر.,0
بیاید ازین بازیا🤠,0
واقعا نمی‌دونم شرایط منو به اینجا رسوندن یا دارم چوب حماقتمو می‌خورم. نمی‌دونم تا کی میتونم برم جلو. دیگه واقعا دارم به خودم هم شک می‌کنم.,1
میام یه ویدیو درسی ببینم انقد حواسم پرت میشه صد بار میزنم عقب دوباره میبینم. پوففففففف.,1
ایول😗,0
فرجه‌س بعد تمرین آپلود میکنی بی‌ناموس؟ خدایا خودت دانشگاه تهران رو نابود کن. دانشگاه تهران رو هم نکردی فنی رو پلیز.🫶,2
ولی muscle memory فقط وقتی که تو رانندگی میکنی؛ بابات تو صندلی شاگرد ترمز.=)),0
ریاضی دو اوکیه بابا هندسس دیگههه🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,0
آقا چرا درسای دانشگاه انقد فرّارن؟,3
آهای تو🫵 باز اومدی توییتر؟ یه ماه دیگه امتحاناس، بدو برو سر درست.,3
بابام تعریف می‌کنه می‌گه کوچیک که بودم یبار تو خیابون یه آخوند می‌بینم و گیر داده بودم که یدونه بخریم ببریم خونه و شاید بپرسید دلیلم چی بوده؛ بخاطر اینکه دوستام هر کدوم یه خرگوشی جوجه‌ای چیزی داشتن. من از کودکی مبارز راه این انقلاب بودم.,3
بابا من هر سری که یکی عینکشو تمیز می‌کنه می‌گم نکن نتت تموم می‌شه بعد نمی‌فهمه باید توضیح بدم.😭😭😭,1
اینا دقیقا از همونایی هستن که تا وارد کلیسا می‌شن، می‌گن سلامتی روح عیسی مسیح صلوات.,0
